SampleID	status	SampleLib	FQ1_PATH	FQ2_PATH
MFS-165	Finished	MFS-165_lib47344	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Illumina/220510.ZA.Set1.FQs/Merged_PE_FASTQs/MFS-165_lib47344_R1.fastq.gz	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Illumina/220510.ZA.Set1.FQs/Merged_PE_FASTQs/MFS-165_lib47344_R2.fastq.gz
MFS-89	Finished	MFS-89_lib48373	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Illumina/220510.ZA.Set1.FQs/Merged_PE_FASTQs/MFS-89_lib48373_R1.fastq.gz	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Illumina/220510.ZA.Set1.FQs/Merged_PE_FASTQs/MFS-89_lib48373_R2.fastq.gz
